Year,Semester,Class,Type,Section,Alma ID,Essay: Why I am here?
2022,Spring,PHYS 0242,--,1,1973,"I chose to study civil Engineering, the reason why I wanted to go into a stem field is because I wanted to be able to learn how to express my designs and learn how roads, buildings etc are build in cities I find that pretty interesting! perhaps in hisghchool I never really took a lot of math class or physics so I wanted to expand my knowledge and learn other subjects I was not as interested in in high school. Another reason on why I wanted to go into the stem field is because I have learned and seen in my classes that not a lot of women are interested in going into these fields, which made me feel intrigued to continue studying civil engineering."
2022,Spring,PHYS 0242,--,1,1984,"I actually didn't know I wanted to be in the stem field until my second year here at SFSU. I originally didn't have a major and I was back and forth about majoring in arts or kinesiology. After much though I kept debating with myself but for some reason on the SFSU pamphlet of majors, I saw mechanical engineering and decided to major in that. I had no prior thought to majoring in mechanical engineering but I thought it would be a good use of time and I wanted to learn about this totally new side of STEM. One specific thing I am interested in is automobiles specifically cars and the balance between aerodynamics and the engine. I am also intrigued by the step forward to electric automobiles and the future of things like motorsport and everyday transportation. I have some experience working on cars and also 3D printing small objects/toys. "
2022,Spring,PHYS 0242,--,1,663,I want to go into stem because it looks really interesting to work on projects. I'd like to work in the automotive industry because I like to work on cars and improve them with parts! So being able to be in the field to work on that would be awesome! 
2022,Spring,PHYS 0242,--,1,2069,"I want to go into the STEM field because of my interest in math and science, I love to ask questions, and finding the answers is just as existing. They are like puzzles to me, trying to find the answer, and why that is working my brain in a way that I enjoy. I chose mechanical engineering specifically because of my desire to go more hands-on approach to solving these puzzles, and problems in our daily life. I also like to help people, which gives me the opportunity to do. Even if I have to do that through school I am willing, but I am more wanting it for the experience of the major, I would like to do some of this work we learn in school in life situations so that I can understand it better as well as fulfill that hands-on desire I want. "
2022,Spring,PHYS 0242,--,1,3021,"I want to go to stem field because I am interested in scientific research, particularly in medical field. Science logically explains natural phenomen which is very fascinating to me. I first got very interested in microscopic world when I first studied about the quantization of energy of electron. Then, I am very curious about quantum physics. The chemical interaction at molecular level makes me fall in love with chemistry. "
2022,Spring,PHYS 0242,--,1,2360,"The reason why I wanted to go into a STEM field is because when I was in high school I was inspired by my friends who are into fixing cars and other mechanics such as machines. Plus, it's also because my dad graduated college in the Philippines with a degree in Civil Engineering so I thought to myself ""I might as well major in Mechanical Engineering."" But joining at first was mostly because I was really into cars and I wanted to go in the automotive field in the first place. I'm hoping to join a group where I get to modify cars and make them even faster just like Fast and Furious. But also, since I have found another passion in fitness I'm planning to graduate college with a degree then maybe go into a different field into fitness. I'll have the degree but I have the option to choose what career I want after college."
2022,Spring,PHYS 0242,--,1,3022,"Rahman Eshpari The STEM field and sciences have always been something that have held my interest. I consider myself to be a hands-on learner or that I enjoy working with my hands. Having a greater understanding of what I’m doing and why has always given me a sense of purpose, direction and confidence. One personal experience that I can recall was during my childhood and how much I played with Legos. I really found them to be my favorite toy and in hindsight, demonstrates human’s intuitive understanding of physics. Having to build, stack, and organize them according to the direction, to be specific, clearly demonstrates the principles found in basic physics. I believe engineering embodies a lot of the values related to these ideas. For these reasons and my past experiences-along with the job or career itself-is the main reason as to why I’m pursuing engineering and would enjoy working in STEM."
2022,Spring,PHYS 0242,--,1,1850,"sorry professor I did reflection 2 instead of reflection 1 which is why this is late. This is a great question as we went over this question in phy with cal 1 and 2. Overall I want to go into the stem field because I feel as if it's an area where I can grow my math and science skills as well as grow as an individual. I personally feel as if its a good area for me and I also believe its an area where my skills are solid at and I could possibly do good things if I follow through with this process.  In short, it's something that I enjoy although it is very hard I still feel like I can strive in this environment.   "
2022,Spring,PHYS 0242,--,1,3023,I am interested in design and manufacturing. A lot of what is involved in STEM are things that I feel comfortable and interested in. One of my main hobbies has been working on cars. Components and design are very important when it comes to vehicles. There are many aspects of STEM that apply to automotive systems. I am interested in the future of automotive design because we are going into an era of electric cars. Advancements in computer technologies will allow for great advancements in designing more efficient vehicles. It is the job of engineers to build better electrical systems and components for this purpose. I think that after college this might be a field that I would pursue. 
2022,Spring,PHYS 0242,--,1,1866,"The reason why I am in the STEM field is that I am a civil engineering major. I choose the major because when I was young my parents always told me that I should become an engineer when I was older. This is because ever since I was young I excelled in my math and science classes. I also showed a lot of interest in those classes and always enjoyed doing the work because it came pretty easy for me. Another reason why I choose a STEM major is that I know the jobs with a STEM degree tend to pay more than other degrees. I think it is very important when I am older to make enough money to live comfortably. Lastly, I choose civil engineering specifically because it has to do with construction. I have always loved designing and building things. My Dad also has been an architect and is now project/construction manager and my grandfather worked in construction as well. Their work has always interested me and I hope to work in that field one day as well. "
