Year,Semester,Class,Type,Section,Alma ID,Essay: Why I am here?
2020,Fall,ASTR 0116,--,2,1231,"To be quite honest, I do not know what my purpose in life is. As a matter of fact, I believe we have multiple purposes in life since we go through many different kinds of transitions. What those transitions are, is up to the universe to decide. For example, I knew the roles I would have to take on when my little sister came into the world; I needed and wanted to be a good role model for her so she can come to me with whatever problems she is going through. But that’s just one example out of an infinite amount out there. All I know, at this point in my life, are my likes and dislikes, the person I would like to become in the future, and even the person I’d like to be with for the rest of my life. But my main purpose at the moment is to work hard and finish these next 2 years of school to get my Bachelor’s degree in Anthropology and Minor in Recreation, Parks, and Tourism."
2020,Fall,ASTR 0116,--,2,1232,"I'm here because I need to be honestly, this class is a requirement for me, but I honestly enjoy Astronomy, I like learning about our universe, it's really trippy to me and just like wows me every time I learn something new because it's like why? I always have a why question after I learn something about our universe, like even if I learn the fact and the why it is the way it is, I'm still like OK BUT WHY, I don't know if that makes sense but it's just how trippy it gets me. I'm so into these kinda things. But anyways thats about it for my way, writing from my stream of consciousness is a bit hard cause I'm like what do I even write about? But I'm looking forward to this class and hopefully learn more trippy universe things."
2020,Fall,ASTR 0116,--,2,1233,"Natalie Aguirre   ASTRO 116-02     “Why Am I Here”   Why am I here? It’s actually a question I ask myself more often than I realized. I asked myself   that for the first time in seventh grade. A question I still ask myself today. My junior year of high   school I realized I am here to help others as I joined peer counseling and applied for a   counseling internship through my school for the following school semester. Senior year my   purpose was to help others solve their own problems and find ways to promote mental health.   The question came up again in my head entering college. Why am I here? What can I do to   change the world? Why should I care about changing the world? I then realized that I care a lot,   that’s just who I am. With that being said I care for the plant and the beings on them, both   animals and humans. I made my purpose to help not only others but nature as well. I decided to   combat climate change by lowering my carbon footprint and finding alternative solutions that   won’t harm the plant like switching out single use plastics for lifelong alternatives that are   recyclable or biodegradable. While I am helping the plant with my small contributions I am also   studying to become a therapist with my psychology major. I wish to help those with disabilities   feel that they too have a purpose and their disability is nothing to be ashamed of. I am here to   help others because of the big heart that I carry."
2020,Fall,ASTR 0116,--,2,1234,"Why are we here? I am here taking this class because one of my friends mentioned it was interesting. I am here and one of the few punctually at 9 a.m. because I want to finish my assignment during class during group work and use my resources efficiently. I am here after class finishing my assignments and tying loose ends to ensure I am doing everything possible to have a good grade. My purpose is to succeed and learn along the way and that is why I am present and “here” today. We can't always dictate our life and find the answers but it helps me to find purpose by doing mindful actions such as being present today. If I asked myself why I'm here and had no answer, that would make me feel useless and unsure. Instead I chose to focus on the positives and credit myself for the work I have accomplished today. I am here because I woke up today and I am ready to serve my purpose, whatever it may be."
2020,Fall,ASTR 0116,--,2,226,"Roxana Garcia Rojas   Ricardo Flores   ASTR 116   24 August 2020   “Why am I Here?”   I am here to be a role model and give inspiration to those who come from low-income   communities. As I go through college, and think about what I’m passionate about or what I want   to do later in life, my answer always leads me to being an educator. Life is hard, and the   institutional oppressions that have held and still hold my family captive, as well as my   community and others like mine, is something that I want to bring light to and tear down. But   that takes the work of many, and to begin, you must first be educated. Which sucks because to be   educated you have to go to an institution, take tests that cost money, pay for college applications,   and all that hard work needs to be done because to be successful in America you must have a   degree. However, working always seems so much easier, you earn money, and set your hours,   and there’s no stress on homework or reading. I want to show that working towards your   education is purposeful work. To break down and fight against everything that oppresses you   shows your strength. I wish more people could see that."
2020,Fall,ASTR 0116,--,2,1235,"Why Am I Here              I remembered when I was a kid I was interested in business management, During high school, I had to do a lot of research about different colleges. I originally have chosen another college in a different city. But everything has changed when my grandpa passed away in my senior year. My grandpa and grandma live together for a long time, and my mom was the one who is taking care of them. During my high school senior year, my grandpa has passed away suddenly. My grandma had Alzheimer’s disease and has gotten worse after grandpa passed away. I was afraid that she will forget me one day and I told my mom about San Francisco State University is also a college for business. Then I had a conversation with my mom about this college and, is closer to grandma’s house which I can help take care of my grandma after school. That is how I have entered San Francisco State University, Overall, I am not regretting any choices I have made so far."
2020,Fall,ASTR 0116,--,2,1236,
2020,Fall,ASTR 0116,--,2,1237,
2020,Fall,ASTR 0116,--,2,1238,
2020,Fall,ASTR 0116,--,2,1239,"I'm here to learn new things and find my passion. I really want to go into business and create an idea that can benefit society. I hope to learn a lot about marketing, and have my own business one day. I think it interests me because I don't want to be stuck in a job that I hate, I'd rather find my passion and do something that I love; so starting my own business would be something really challenging yet inspiring. I’m excited for what the future holds, but also nervous because things don’t always go as planned. I’m not sure what to expect for the next couple of years but I really hope that I can work my hardest to achieve the goals I have in mind.    "
