Year,Semester,Class,Type,Section,Alma ID,Essay: Why I am here?
2020,Fall,PHYS 0222,--,6,150,"There are a couple of reasons why I want to go into the STEM field. One of the main reasons is that I am heavily influenced by my role models. My dad, two aunts, and uncle are all civil engineers and I have been to work with all of them and visited project sites, so I knew I would enjoy what I'd be doing. I also really like and enjoy doing math, therefore I wanted to choose a major which included this subject. I really enjoy drawing, so I think Drafting plans in Engineering is something that I'd enjoy doing. One thing that motivates me to also get a STEM degree is knowing that I am a double minority in this field, since I am both a woman and a person of color. Therefore, this is really motivating me to get my degree, and help break these statistical boundaries. Lastly, of course most people who work in the stem field get a reasonable salary, which is something that is important in my eyes."
2020,Fall,PHYS 0222,--,6,151,"I want to go into a STEM field, computer science specifically, because technology interests me. It’s not easy for me to understand a lot of scientific and mathematical concepts, but they’re still super interesting to pick apart and it feels like I’m solving a puzzle. My whole life I was convinced that I’m “bad at math”, but I’m so stubborn that I kind of just decided that I’m gonna do it whether or not I’m good at it, because I enjoy it. I realized after taking discrete math that logic comes much more naturally to me than other types of math I’ve studied--logic gates, knights and knaves, and Eulerian paths all made a lot of sense to me.I’ve worked a couple places doing STEM education, especially programs for young girls, because I never really believed that I could be capable or competent in any STEM field. Did you know that the only STEM field to see a decrease in women in the last 30 years was computer science? And sitting in my CS classes where I see one other single woman, it starts to become more obvious. It’s important to me that the next generation realizes that careers have no gender and just because you’re not a prodigy doesn’t mean you can’t pursue science!"
2020,Fall,PHYS 0222,--,6,152,"I am majoring in computer science. I want to go into a STEM field because I think  STEM is interesting and can lead to real change. When I think about things that have changed human lives and made standards of living go up, I think of inventors and scientists. I don’t have much faith in politics or world rulers and certainly don’t see anyone in politics making real change that makes people’s lives better. Instead, I see change come with technology. Only a few years ago almost everyone had begun carrying a smartphone with them. Our communal understanding of our world has changed because of it. Imagine the Black Lives Matter movement couldn’t kick off if enough people didn’t have social media presence to fuel it and share their personal and systematic experiences of racism. If the people didn’t have smartphones or other technologies at hand, they would have an even harder time spreading information. That’s just one example of how I think technology can change the world. I want to enable people with important information to be able to share it with those who need to hear it. And that’s only one of the many aspects of STEM that makes me want to pursue it."
2020,Fall,PHYS 0222,--,6,153,"I am currently a CS Major, which has been my plan ever since I started applying to colleges out of high school. There is definitely the cultural factor; it is often encouraged in the Indian community for children to pursue stem fields, particularly engineering and medicine. In addition to this, STEM fields often lead to lucrative careers that have a good amount of job security. For my particular field of computer science, jobs are in high demand in the bay area as well which serves as a big advantage. Lastly, I have always had an affinity for computers from a young age, which is what lead to my choice of this major. I am quite passionate about the field, and there is definitely something satisfying about creating things through programming that drew me in."
2020,Fall,PHYS 0222,--,6,154,"Why do I want to go into the STEM field?I think that going into the STEM field and making breakthroughs in science can help a lot of people. Because of breakthroughs in the past we have eliminated lots of diseases like smallpox and polio, diseases that have decimated millions in the past can now be eliminated with a shot. Making breakthroughs in STEM doesn’t just saves lives, it can improve the quality of life of many people making mundane tasks that took a long time into something trivial whether it be computers that do millions of computations per second or even new technology that can optimize the use of farm land to grow more food and lowered the price of food for others.I want to go into the STEM field to help people and improve their quality of life. However that’s not the only reason I wanted to go into STEM. Another big reason I want to go into STEM is to solve life’s great mysteries. I know it will be impossible to learn everything, but I am curious about how things in our world works. I want to know the whats, whys, and what ifs. I want to know what’s inside of a black hole, why our universe is so vast, and what if there are other intelligent life besides humans. I have a curiosity that I want satiated. I know we might not even find the answers to those questions in my lifetime and maybe in hundred of life times, but we have to start somewhere. We can’t just wait and hope that someone someday will solve those mysteries for us. STEM is a culmination of all the past research efforts. If Newton didn’t invent calculus we might not have Einstein’s theory of relativity. STEM research is a collective effort that builds on top of each other. If everyone waited for the answer to be given to them, then humans would never advance beyond the stone age. I want to go into STEM to do my part, to add to the collective knowledge, so future generations can use that knowledge to solve the mysteries of life."
2020,Fall,PHYS 0222,--,6,155,"The reason why I want to go into stem is because I am in love with science and the world around me. I was always drawn towards sciences throughout my former schooling. I especially love life sciences and marine biology. I have always wanted to pursue some sort of career in either botany or astronomy. Later on in my life after high school, I realized that I had quite an obsession with space and stars, and the galaxies, and materials that make up this universe. I became truly inspired after watching the movie retelling of Stephen Hawking's Life: The theory of everything. The excitement of science keeps me engaged and it satisfies my curiosity in a way that plain mathematics does not. Some day when I graduate I hope to work at NASA, charting stars and galaxies and discovering the secrets of the universe. I also feel compelled to diversify the field of science with more women, since it is predominantly men."
2020,Fall,PHYS 0222,--,6,156,"I have decided to go into the STEM field because I have always wanted to be an engineer. I loved math growing up and that helped as a deciding factor. I have always wanted to major as engineer, but I was unsure what type of engineering I would pursue. I loved building things which made me decide civil engineering, but I always enjoyed working with cars since my dad worked and built cars when I was a kid. Even in school, I tried to be involved with STEM related activities because it had always interested me. Working with cars specifically made me decide to switch to mechanical engineering and pursue that as a career goal. The STEM field has many opportunities for people to choose from and it wasn't difficult finding what to to do. Being in STEM requires a lot of hard work and dedication, that's why I wanted to pursue engineering, I enjoy the challenge."
2020,Fall,PHYS 0222,--,6,157,I wanted to get into the STEM field because I wanted to work towards my dream job. I want to become a game developer and the best way of doing in my opinion was to get into the STEM field. I needed to get a degree within computer science to make myself more competitive for applying for any job in the industry. At the same time I would improve my foundation of the work that I would have to do in the future. I want to join this field and create brand new works that others would enjoy and discuss about. I wanted to be able to have a product that I put a lot of effort into and be proud of at the end of the day. I wanted to learn more about the things and enjoyed and how people were able to design the mechanics of a game.
2020,Fall,PHYS 0222,--,6,158,"I want to go into the STEM field because math and science are two subjects that look the most interesting to me. Math because I’m just at least good in solving math problems and using equations and science because it has interesting topics such as electricity for example. I chose to major in computer science because I love computers and also, I’m interested in technology. And not just that I just also wanted to get an interesting job that is based on tech ( or maybe a job that is not based on computer science, but at least interesting)."
2020,Fall,PHYS 0222,--,6,159,"Deciding to be an engineer is something that I have always struggled with. Originally I wanted to be a computer scientist/ coder and learn how to hack, but after realizing that coding wasn’t for me I drifted apart from that idea because it ended up not working for me. During the summer of 2018 I began to have some interest in being an engineer. During that summer I participated in multiple engineering internships where we learned how to build, design, and create little projects that used Arduino's. That was when I figured out that I wanted to be an engineer. I learned that engineering mostly focussed on problem solving and creating products and tools to help solve those problems. I have been doing this ever since I was young; building, creating, and mapping out ideas of invention models on paper. This aspect of engineering has been in my early age without me even knowing it, and I naturally drifted to that desired discipline unconsciously."
