Year,Semester,Class,Type,Section,Alma ID,Essay: Why I am here?
2020,Spring,PHYS 0112,--,5,56,"Aya AlazzehPhysics 112I am enrolled in Physics 111 and 112 because it is a required course for my major. I am a biology with a concentration in physiology, and I aspire to become a physician one day. This class to me is a step closer to my college degree, and one step closer to graduate school. I also am in this class to gain knowledge about Physics of course. As a future doctor I am required to take the MCAT which is the Medical entrance exam. Physics material is present on the exam, and so it is vital that I have an understanding of Physics. Overall I would say that I enjoy learning, and college is the time to indulge in any subject you please. I enjoy expanding my intellectual horizons, and it will only benefit me in the future. In conclusion, the more knowledge the better."
2020,Spring,PHYS 0112,--,5,386,Well according to my major I am supposed to be here. There are a lot of reasons I am here I am also interested in science and want to get up to being able to do some science in each area in order to be able to help other people. Although to this point it is really confusing and I do not thoroughly understand it I am hanging in here . Physics is an interesting yet so boring topic because of how much things overlap and you have to learn and memorize a lot of things I can just imagine that. The real reason though is that I have to take this for medical school as well so as of right now I guess I am all in. The only thing is  physics has so much concepts and I do not know how to take in so much information in so little time but I guess it is time to start figuring that out.
2020,Spring,PHYS 0112,--,5,387,"I am here at San Francisco State University because I want to get my Bachelors of Science in Biochemistry so that can get into medical school and become a anesthesiologist. I am here so that I can make my mom proud and be one of the first people in my family to complete college and get a degree; because making them happy android means a lot to me. I want to be able to show them that I can make it and maybe help them out in the future because they’ve helped me so much. Without their help I would not be at San Francisco State University or in my Physics 112 class. I am in Physics 112 so that I can continue to pursue my dream of becoming an anesthesiologist and learn more about physics and how it is present in my every day life so that I can use my new found knowledge and degree to help others by becoming a doctor. Being here in college and in physics is extremely important to me because without being here I wouldn’t be able to purse and execute my goals or make my family proud, being here makes me who I am."
2020,Spring,PHYS 0112,--,5,388,I am here because this is a prerequisite for biomechanics and major requirement for my major. I am a kinesiology major with an emphasis in exercise and movement sciences. I can see physics being beneficial to me in my major because kinesiologists analyze movement and with that you need to understand physics. 
2020,Spring,PHYS 0112,--,5,389,"The reason why I am taking General Physics I Lab is because it is one of the requirements for my major. Before taking this class, I have not taken a physics class since my freshman year of high school, which was about 6 1/2 years ago. Even though I had some experience when it comes to physics, everything that I have been learning this semester is all new material for me. In the sense of why am I going to college, I would say that I feel like my purpose in life is to be in the medical field to help people. In order to have the degree to assist patients, I need to major in Biology and take the required courses, like physics, in order to master the subject. Having this degree is one of the major stepping stones in getting into medical school. But I know this class is essential for my learning because physics is implied in everyday life and necessary to understand applications, especially those in the medical field."
2020,Spring,PHYS 0112,--,5,390,"I am here in Physics Lab because it is part of the requirement as a Biology major here at SF State. I have never previously taken any physics course throughout high school and I find it essential to be in this class to have a better understanding in general and as a science major. I was brought to this class through major requirements, however, I initially chose Biology as my major because I have future plans to go into the medical field as my career. More specifically, I aspire to be a Physician Assistant and hope to get into a graduate program for that once I graduate from SF State. If that doesn’t work out, being a Biology major allows for a wide variety of career options such as a different career in the medical field, I could go into research, another option would be a CSI (crime scene investigator), dentistry, veterinary studies, etc. Not only does my major allow me a path to my dream job but also opens several pathways to many other backup plans, either way, this major will hopefully help me succeed in life. "
2020,Spring,PHYS 0112,--,5,391,I am in this course because I need it for my major. I have never taken physics before mostly because I am intimidated by the math in it. I am not a math person. I took this class this semester because I need it and it was a good time for me to take it. If I didn't need physics for my major I don't think I would have ever taken this class of my own volition. I think the subject is interesting and understand some basics concepts. It is just that I don't really like hard sciences as much.
2020,Spring,PHYS 0112,--,5,392,"Amanda Friedman  Why am I here?              The main reason that I decided to enroll in this class is to fulfill a requirement for my Biology major. It is one of the three main classes that are prerequisites for other classes.  I intend to finish this physics class and continue on to the second semester physics to complete my requirements and move on to upper division courses within my major. By the end of this class, I hope to have a better understanding of what physics is and that it will help me when I take my MCAT and enter medical school in the next couple of years after I graduate with my four-year degree at San Francisco State. This class is meant to lay a foundation for the basics of physics and give some background for the future. This class is also along side a lecture, which has been able to help me better understand concepts by doing experiments.  I may not be here out of pure interest but I believe that this class is important to complete my education here."
2020,Spring,PHYS 0112,--,5,393,"I am here in this particularly coarse because it is a prerequisite for other classes and necessary to obtain my degree.   This is my second time attempting to complete physics ( the first attempt I withdrew within the first two weeks; the information was so dense and uninteresting).  This attempt is a little better where the instructor is not moving as fast or is she as boring.   However, she does not give foundation for what she’s explaining and assumes everyone is on her page.   To her defense she does ask if any has questions.... sometimes it’s hard to ask what you don’t know how to ask and even harder if you assume it’s only you that’s not understanding the material.  The lab component of physics has been helpful in a way where the instructor there is more approachable and willing to help...which I truly appreciate.  "
2020,Spring,PHYS 0112,--,5,394,"Jiayu Lu  PHY112     Physics exists in every day. I want to learn about how physics works in our daily lives, and how it affects our lives. I felt interesting in physics when I first drew a FBD to analyze a force system. I also found interested about how different force work. I learned that every object has gravitational force do to the earth. I also learned how the three types of Newton's Law work. For example, while a system’s net force is not equal to zero, it occurs acceleration by the Newton's 2nd Law. An important part in physics is that scientists have derived their theories into equations to show how physics work in life. Scientist have provided good ideas for us to create better future lives. So, I am here to learn more about physics.  "
